 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 7   8          8        3375    4.078e-05  8.27613e+07   100  2.88276e-05
 7   8         16        6525  4.31381e-05  1.51258e+08   100  3.12183e-05
 7   8         32       12615  4.43169e-05  2.84655e+08   100  3.19564e-05
 7   8         64       24389  4.77949e-05  5.10285e+08   100  3.54282e-05
 7   8        128       47937  4.65551e-05  1.02968e+09   100  3.41743e-05
 7   8        256       94221  4.92732e-05  1.91221e+09   100  3.58848e-05
 7   8        512      185193  8.80217e-05  2.10395e+09   100  6.79936e-05
 7   8       1024      367137  0.000129748  2.82961e+09   100  9.45989e-05
 7   8       2048      727833  0.000283457   2.5677e+09   100  0.000202038
 7   8       4096     1442897  0.000818034  1.76386e+09   100  0.000481558
 7   8       8192     2873025   0.00219052  1.31157e+09   100   0.00127477
 7   8      16384     5720625   0.00575584  9.93882e+08   100   0.00289144
 7   8      32768    11390625    0.0131757  8.64519e+08   100   0.00606023
 7   8      65536    22730625    0.0287736  7.89981e+08   100    0.0123952
 7   8     131072    45360225    0.0572537  7.92268e+08   100    0.0237435
 7   8     262144    90518849     0.113773  7.95608e+08   100    0.0467043
 7   8     524288   180836097     0.241902   7.4756e+08   100    0.0923896

