 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 1   2       1024        1377  1.86668e-05  7.37673e+07    43  8.92544e-06
 1   2       2048        2601  2.19312e-05  1.18598e+08    55  1.15886e-05
 1   2       4096        4913   2.7104e-05  1.81265e+08    66  1.58386e-05
 1   2       8192        9537  3.61377e-05  2.63907e+08    86  2.44925e-05
 1   2      16384       18513   6.4441e-05  2.87286e+08   100  4.25534e-05
 1   2      32768       35937  9.04775e-05  3.97193e+08   100  7.47531e-05
 1   2      65536       70785  0.000151243  4.68023e+08   100  0.000133446
 1   2     131072      139425  0.000345653  4.03367e+08   100  0.000302936
 1   2     262144      274625   0.00116533  2.35662e+08   100   0.00100931
 1   2     524288      545025   0.00257662  2.11527e+08   100   0.00221621
 1   2    1048576     1081665   0.00532194  2.03246e+08   100   0.00459486
 1   2    2097152     2146689    0.0107932  1.98892e+08   100   0.00913234
 1   2    4194304     4276737    0.0227666  1.87851e+08   100    0.0181978
 1   2    8388608     8520321    0.0467012  1.82443e+08   100    0.0359125
 1   2   16777216    16974593    0.0929451   1.8263e+08   100    0.0713145


