 p   q  n_element      n_dofs      time/it    dofs/s/it  itCG  time/matvec
 8   9          8        4913  5.45057e-05  9.01374e+07   100  3.86792e-05
 8   9         16        9537  6.45198e-05  1.47815e+08   100  4.14966e-05
 8   9         32       18513  6.69016e-05   2.7672e+08   100  4.18724e-05
 8   9         64       35937  7.81588e-05  4.59794e+08   100  5.92913e-05
 8   9        128       70785  6.45982e-05  1.09577e+09   100  4.48795e-05
 8   9        256      139425  6.57318e-05  2.12112e+09   100  4.53022e-05
 8   9        512      274625  0.000123881  2.21684e+09   100  9.14707e-05
 8   9       1024      545025  0.000198703  2.74291e+09   100  0.000141723
 8   9       2048     1081665  0.000523293  2.06703e+09   100  0.000326451
 8   9       4096     2146689   0.00143146  1.49965e+09   100  0.000856409
 8   9       8192     4276737   0.00391233  1.09314e+09   100   0.00203266
 8   9      16384     8520321   0.00964658  8.83248e+08   100   0.00442078
 8   9      32768    16974593    0.0204889  8.28476e+08   100   0.00892272
 8   9      65536    33883137     0.042629  7.94838e+08   100    0.0175002
 8   9     131072    67634433    0.0845811   7.9964e+08   100    0.0344088
 8   9     262144   135005697     0.172452  7.82861e+08   100    0.0693163

